,a
1718,"F. Chaouat (27, Ismaily, Egyptian Premier League 22-23)"
1719,"Charles (39, Pontevedra, Primera División RFEF 22-23)"
1720,"M. Casarotto (25, Virtus Verona, Serie C 22-23)"
1721,"A. Gorocito (30, Racing, Uruguay Primera División 2023)"
1722,"Kike García (33, Osasuna, La Liga 22-23)"
1723,"B. Embolo (26, Monaco, Ligue 1 22-23)"
1724,"M. Eisa (28, Milton Keynes Dons, League One 22-23)"
1725,"Mama Baldé (27, Troyes, Ligue 1 22-23)"
1726,"A. Canelo (31, Club Tijuana, Liga MX 22-23)"
1727,"D. Bezborodko (29, Kolos Kovalivka, Ukrainian Premier Liha 22-23)"
1728,"B. Dia (26, Salernitana, Serie A 22-23)"
1729,"P. O'Neill (23, Larne, Northern Ireland Premiership 22-23)"
1730,"C. Mailula (21, Mamelodi Sundowns, South Africa PSL 22-23)"
1731,"Sergio Buenacasa (27, Talavera CF, Primera División RFEF 22-23)"
1732,"A. Nalini (32, Virtus Verona, Serie C 22-23)"
1733,"A. Véliz (19, Rosario Central, Argentinian Primera División 2023)"
1734,"K. Ogawa (25, Yokohama, J1 2023)"
1735,"R. Moon (26, Golden Arrows, South Africa PSL 22-23)"
1736,"F. Sasere (24, Vaduz, Swiss Challenge League 22-23)"
1737,"F. Lescano (26, Pescara, Serie C 22-23)"
1738,"G. Katabi (25, Hapoel Rishon LeZion, Liga Leumit 22-23)"
1739,"C. Morton (23, Fleetwood Town, League One 22-23)"
1740,"N. Ennis (23, Plymouth Argyle, League One 22-23)"
1741,"D. Rodney (24, Rochdale, League Two 22-23)"
1742,"B. Hollerbach (22, Wehen Wiesbaden, 3. Liga 22-23)"
1743,"M. Wolfram (26, Verl, 3. Liga 22-23)"
1744,"C. Tosun (32, Beşiktaş, Süper Lig 22-23)"
1745,"Dany Mota (25, Monza, Serie A 22-23)"
1746,"F. Suárez (28, América de Cali, Colombian Primera Division 22-23)"
1747,"J. Knowles (26, Brisbane Roar, A-League Men 22-23)"
1748,"A. Bernier (25, RFC Seraing, Belgian Pro League 22-23)"
1749,"C. Teuchert (26, Hannover 96, 2. Bundesliga 22-23)"
1750,"L. Ruiz (27, Rio Ave, Primeira Liga 22-23)"
1751,"H. Jouini (30, Stade Tunisien, Tunisian Ligue 1 22-23)"
1752,"Thuram (32, Pendikspor, Turkish 1. Lig 22-23)"
1753,"A. Partipilo (28, Ternana, Serie B 22-23)"
1754,"K. Sulemana (21, Southampton, Premier League 22-23)"
1755,"Y. Silue (21, St. Pölten, Austrian 2. Liga 22-23)"
1756,"J. Tell (25, Grenoble, Ligue 2 22-23)"
1757,"R. Janga (31, CFR Cluj, SuperLiga României 22-23)"
1758,"R. Mustafaev (19, Stal Rzeszów, Polish I Liga 22-23)"
1759,"B. Cmiljanić (27, Dečić, Montenegro First League 22-23)"
1760,"M. Sarkaria (26, Sturm Graz, Austrian Bundesliga 22-23)"
1761," C. Thirawatsri (31, Lampang, Thai League 1 22-23)"
1762,"G. Di Serio (21, Perugia, Serie B 22-23)"
1763,"Roni (29, Algeciras, Primera División RFEF 22-23)"
1764,"E. Engelhardt (25, Osnabrück, 3. Liga 22-23)"
1765,"T. Bentayeb (21, UTS Rabat, Botola Pro 22-23)"
1766,"Y. Asano (26, Consadole Sapporo, J1 2023)"
1767,"M. Pieringer (23, Paderborn, 2. Bundesliga 22-23)"
1768,"N. Bilbija (32, Zrinjski, Bosnian Premier League 22-23)"
1769,"Iker Unzueta (24, SD Logroñés, Primera División RFEF 22-23)"
1770,"T. Adamsen (28, Silkeborg, Superliga 22-23)"
1771,"Urko Izeta (23, Bilbao Athletic, Primera División RFEF 22-23)"
1772,"C. Mba (23, Partizani Tirana, Albanian Premier League 22-23)"
1773,"F. Čuić (20, Radomlje, 1. SNL 22-23)"
1774,"B. Farkas (21, Siófok, NB II 22-23)"
1775,"A. Nuhiu (33, Rheindorf Altach, Austrian Bundesliga 22-23)"
1776,"S. Chhetri (38, Bengaluru, Indian Super League 22-23)"
1777,"Aarón Piñán (25, Intercity SJ D' Alacant, Primera División RFEF 22-23)"
1778,"M. Emmausso (25, Picerno, Serie C 22-23)"
1779,"R. M'Barki (28, Dender, Belgian First Division B 22-23)"
1780,"M. Frey (28, Schalke 04, Bundesliga 22-23)"
1781,"A. Zabolotnyi (31, CSKA Moskva, Russian Premier League 22-23)"
1782,"F. Disanto (28, Siena, Serie C 22-23)"
1783,"L. Gómez (35, Antigua GFC, Guatemala Liga Nacional 22-23)"
1784,"J. Sargent (23, Norwich City, Championship 22-23)"
1785,"G. Moncini (27, SPAL, Serie B 22-23)"
1786,"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)"
1787,"M. Wright (20, Falkirk, Scottish League One 22-23)"
1788,"R. Gamildien (34, Royal AM, South Africa PSL 22-23)"
1789,"F. Magri (23, Bastia, Ligue 2 22-23)"
1790,"G. Plet (36, Telstar, Eerste Divisie 22-23)"
1791,"R. Dinolis (28, Plaza Amador, Panama LPF 2023)"
1792,"M. Campos (31, Everton, Chilean Primera División 2023)"
1793,"H. Kisekka (33, Aizawl, I-League 22-23)"
1794,"S. Lavery (24, Blackpool, Championship 22-23)"
1795,"M. Saavedra (30, Atlético Chiriquí, Panama LPF 2023)"
1796,"Brandão (32, Hoang Anh Gia Lai, V League 1 2023)"
1797,"José Luis Morales (35, Villarreal, La Liga 22-23)"
1798,"A. Petagna (27, Monza, Serie A 22-23)"
1799,"T. Sakai (27, Nara Club, J3 2023)"
1800,"B. Mkaddem (25, CA Bizertin, Tunisian Ligue 1 22-23)"
1801,"R. Buess (30, Winterthur, Swiss Super League 22-23)"
1802,"Pedro Benito (23, UD Sanse, Primera División RFEF 22-23)"
1803,"A. Yodsangwal (21, Lamphun Warrior, Thai League 1 22-23)"
1804,"M. Niang (28, Auxerre, Ligue 1 22-23)"
1805,"A. Mendy (29, Caen, Ligue 2 22-23)"
1806,"E. Volpicelli (30, Sangiuliano City, Serie C 22-23)"
1807,"D. Lom (25, Xelajú, Guatemala Liga Nacional 22-23)"
1808,"F. Dionisi (35, Ascoli, Serie B 22-23)"
1809,"A. Spagnoli (28, Ancona, Serie C 22-23)"
1810,"Marc Álvarez (21, Gimnàstic Tarragona, Primera División RFEF 22-23)"
1811,"A. Boiciuc (25, AS FC Buzău, Romanian Liga II 22-23)"
1812,"V. Mantzis (31, Ionikos, Greek Super League 22-23)"
1813,"D. Churín (33, Cerro Porteño, Paraguay Division Profesional 2023)"
1814,"F. Samu (28, Maritzburg United, South Africa PSL 22-23)"
1815,"Y. Serdyuk (25, CSKA 1948 Sofia, Bulgarian First League 22-23)"
1816,"I. Nurudeen (25, Real Kashmir, I-League 22-23)"
1817,"Sergio Camello (22, Rayo Vallecano, La Liga 22-23)"
1818,"L. Mryan (23, Shirak, Armenian Premier League 22-23)"
1819,"João Silva (33, Estrela Amadora, Portugal Segunda Liga 22-23)"
1820,"A. Gruber (27, Austria Wien, Austrian Bundesliga 22-23)"
1821,"G. Zigoni (32, Juve Stabia, Serie C 22-23)"
1822,"Jon Bautista (27, Eibar, La Liga 2 22-23)"
1823,"J. Beauguel (31, Al Wahda, Saudi Professional League 22-23)"
1824,"L. Gregory (34, Sheffield Wednesday, League One 22-23)"
1825,"Xemi Fernández (28, Intercity SJ D' Alacant, Primera División RFEF 22-23)"
1826,"A. Sørloth (27, Real Sociedad, La Liga 22-23)"
1827,"A. Yehia (24, Al Masry, Egyptian Premier League 22-23)"
1828,"O. Peretz (29, Hapoel Petah Tikva, Liga Leumit 22-23)"
1829,"Nuno Da Costa (32, Auxerre, Ligue 1 22-23)"
1830,"J. van Duiven (18, PSV II, Eerste Divisie 22-23)"
1831,"S. Yatéké (23, Helsingør, Danish 1. Division 22-23)"
1832,"C. Carletti (26, Trento, Serie C 22-23)"
1833,"J. Fajardo (29, Cusco, Peruvian Liga 1 2023)"
1834,"E. Botheim (23, Salernitana, Serie A 22-23)"
1835,"A. Chițu (32, U Craiova 1948, SuperLiga României 22-23)"
1836,"D. Nájera (28, Engordany, Andorra Primera Divisió 22-23)"
1837,"J. Gele (30, 1599 Şelimbăr, Romanian Liga II 22-23)"
1838,"Bassem Morsy (31, National Bank of Egypt, Egyptian Premier League 22-23)"
1839,"Fabrício (22, Castellón, Primera División RFEF 22-23)"
1840,"M. Thuram (25, Borussia M'gladbach, Bundesliga 22-23)"
1841,"R. Paton (22, Queen of the South, Scottish League One 22-23)"
1842,"F. Krüger (24, Groningen, Eredivisie 22-23)"
1843,"M. Šego (22, Varaždin, 1. HNL 22-23)"
1844,"L. Pérez (36, Pérez Zeledón, Costa Rica Primera División 22-23)"
1845,"F. Žák (27, Teplice, Czech Fortuna Liga 22-23)"
1846,"P. Madden (33, Stockport County, League Two 22-23)"
1847,"T. Allende (24, Godoy Cruz, Argentinian Primera División 2023)"
1848,"S. Ganz (29, Latina, Serie C 22-23)"
1849,"Christian Borrego (26, Alcorcón, Primera División RFEF 22-23)"
1850,"Z. Lepasa (26, SuperSport United, South Africa PSL 22-23)"
1851,"K. Denkey (22, Cercle Brugge, Belgian Pro League 22-23)"
1852,"S. Koita (23, Salzburg, Austrian Bundesliga 22-23)"
1853,"N. Wells (32, Bristol City, Championship 22-23)"
1854,"L. Mancuso (31, Como, Serie B 22-23)"
1855,"Luís Lopes (23, Aberdeen, Scottish Premiership 22-23)"
1856,"E. Pecorino (21, Juventus Next Gen, Serie C 22-23)"
1857,"B. Kopitović (28, Tampines Rovers, Singapore Premier League 2023)"
1858,"B. Čečarić (29, Napredak Kruševac, Serbian SuperLiga 22-23)"
1859,"J. Monteiro (23, Young Boys, Swiss Super League 22-23)"
1860,"B. Santelli (31, Bastia, Ligue 2 22-23)"
1861,"F. Nwankwo (24, Kenkre, I-League 22-23)"
1862,"G. Altıparmak (22, Gençlerbirliği, Turkish 1. Lig 22-23)"
1863,"M. Meerdink (19, AZ II, Eerste Divisie 22-23)"
1864,"R. Kamergi (28, Ben Guerdane, Tunisian Ligue 1 22-23)"
1865,"T. Kleindienst (27, Heidenheim, 2. Bundesliga 22-23)"
1866,"Ji-Min Kim (29, Chiangrai United, Thai League 1 22-23)"
1867,"F. Vázquez (30, Gubbio, Serie C 22-23)"
1868,"F. Holender (28, Vasas, NB I 22-23)"
1869,"Bruno Catanhede (29, FLC Thanh Hoa, V League 1 2023)"
1870,"L. Pratto (35, Vélez Sarsfield, Argentinian Primera División 2023)"
1871,"E. Shahaf (25, Ashdod, Ligat Ha'al 22-23)"
1872,"N. Komlichenko (27, Rostov, Russian Premier League 22-23)"
1873,"M. Pérez (32, Águilas Doradas, Colombian Primera Division 22-23)"
1874,"P. Cissé (38, Amiens SC, Ligue 2 22-23)"
1875,"L. Haokip (22, Neroca, I-League 22-23)"
1876,"D. Souza (29, Samsunspor, Turkish 1. Lig 22-23)"
1877,"G. Tanushev (32, Pelister, North Macedonia First League 22-23)"
1878,"Patrick Luan (24, FC Schaffhausen, Swiss Challenge League 22-23)"
1879,"G. Asulin (29, Agudat Sport Ashdod, Liga Leumit 22-23)"
1880,"V. Kjartansson (33, Atromitos, Greek Super League 22-23)"
1881,"R. Córdoba (25, Herrera, Panama LPF 2023)"
1882,"A. Pląskowski (29, Ruch Chorzów, Polish I Liga 22-23)"
1883,"F. Pavone (23, Fidelis Andria, Serie C 22-23)"
1884,"Rodri Escudero (29, Talavera CF, Primera División RFEF 22-23)"
1885,"C. Shields (25, Queen's Park, Scottish Championship 22-23)"
1886,"D. Origi (28, Milan, Serie A 22-23)"
1887,"Juan Muñoz (27, Leganés, La Liga 2 22-23)"
1888,"K. Daci (24, Teuta Durrës, Albanian Premier League 22-23)"
1889,"M. Pavkov (29, Al Feiha, Saudi Professional League 22-23)"
1890,"Maxuell (31, Gzira United, Malta Premier League 22-23)"
1891,"K. Kask (23, Pärnu JK Vaprus, Estonian Meistriliiga 2023)"
1892,"B. Armoa (23, Tigre, Argentinian Primera División 2023)"
1893,"D. Taylor (19, Burton Albion, League One 22-23)"
1894,"A. Mitrović (28, Fulham, Premier League 22-23)"
1895,"T. Yordanov (24, Beroe, Bulgarian First League 22-23)"
1896,"Fer Niño (22, Villarreal B, La Liga 2 22-23)"
1897,"P. Slišković (32, Chennaiyin FC, Indian Super League 22-23)"
1898,"B. Lessy (23, Barito Putera, BRI Liga 1 22-23)"
1899,"M. Abline (20, Auxerre, Ligue 1 22-23)"
1900,"M. Salas (25, Palestino, Chilean Primera División 2023)"
1901,"M. Sahd (29, FAR Rabat, Botola Pro 22-23)"
1902,"I. Krstanović (40, Slaven Belupo, 1. HNL 22-23)"
1903,"M. Torres (25, Akritas, Cyprus 1. Division 22-23)"
1904,"F. Lakay (26, Pyramids Al Ahram FC, Egyptian Premier League 22-23)"
1905,"J. Okoli (25, Al Mokawloon, Egyptian Premier League 22-23)"
1906,"A. Gunnes (25, Ranheim, OBOS Ligaen 2023)"
1907,"K. Piscopo (25, Pordenone, Serie C 22-23)"
1908,"J. Ngoy (25, Mechelen, Belgian Pro League 22-23)"
1909,"A. Douvikas (23, Utrecht, Eredivisie 22-23)"
1910,"E. Manu (29, Botev Plovdiv, Bulgarian First League 22-23)"
1911,"M. Rymarenko (24, Dukla Banská Bystrica, Slovak Super Liga 22-23)"
1912,"E. Ahlstrand (21, Halmstad, Allsvenskan 2023)"
1913,"C. Samphaodi (27, Lamphun Warrior, Thai League 1 22-23)"
1914,"Pablo Moreno (21, Marítimo, Primeira Liga 22-23)"
1915,"M. Daku (25, Mura, 1. SNL 22-23)"
1916,"João Pedro (23, Real Balompédica Linense, Primera División RFEF 22-23)"
1917,"S. Pettinari (31, Benevento, Serie B 22-23)"
1918,"B. Rubio (26, León, Liga MX 22-23)"
1919,"H. Labidi (20, Club Africain, Tunisian Ligue 1 22-23)"
1920,"L. Sgarbi (22, Pro Sesto, Serie C 22-23)"
1921,"Alejandro Cantero (22, Levante, La Liga 2 22-23)"
1922,"C. Martin (34, Queens Park Rangers, Championship 22-23)"
1923,"K. Wootton (26, Stockport County, League Two 22-23)"
1924,"Z. Atteri (21, Dender, Belgian First Division B 22-23)"
1925,"G. Britos (33, Atlético Huila, Colombian Primera Division 22-23)"
1926,"R. Muirhead (27, Greenock Morton, Scottish Championship 22-23)"
1927,"A. El Ouazzani (21, Guingamp, Ligue 2 22-23)"
1928,"E. Emegha (20, Sturm Graz, Austrian Bundesliga 22-23)"
1929,"Đ. Jovanović (24, Maccabi Tel Aviv, Ligat Ha'al 22-23)"
1930,"S. Corazza (32, Cesena, Serie C 22-23)"
1931,"M. Kutovoy (21, Krasnodar II, Russian FNL 2 22-23)"
1932,"M. Nasti (19, Cosenza, Serie B 22-23)"
1933,"I. Pittas (26, Apollon, Cyprus 1. Division 22-23)"
1934,"C. Rasmussen (20, Ajax II, Eerste Divisie 22-23)"
1935,"A. Gabrielloni (28, Como, Serie B 22-23)"
1936,"A. Marotta (36, Viterbese, Serie C 22-23)"
1937,"Dani Escriche (25, Albacete, La Liga 2 22-23)"
1938,"G. Dahan (23, Maccabi Petah Tikva, Liga Leumit 22-23)"
1939,"V. Adeboyejo (25, Bolton Wanderers, League One 22-23)"
1940,"Dani Vega (26, Real Murcia, Primera División RFEF 22-23)"
1941,"Roberto (34, Penafiel, Portugal Segunda Liga 22-23)"
1942,"K. Koffi (36, Elversberg, 3. Liga 22-23)"
1943,"P. Sohm (31, Waldhof Mannheim, 3. Liga 22-23)"
1944,"D. Miculescu (22, FCS Bucureşti, SuperLiga României 22-23)"
1945,"G. Paulauskas (23, Egnatia Rrogozhinë, Albanian Premier League 22-23)"
1946,"P. Mikita (29, Tychy 71, Polish I Liga 22-23)"
1947,"Rômulo (31, Police Tero, Thai League 1 22-23)"
1948,"S. Buhari (19, Van, Armenian Premier League 22-23)"
1949,"N. Powell (29, Stoke City, Championship 22-23)"
1950,"T. Čvančara (22, Sparta Praha, Czech Fortuna Liga 22-23)"
1951,"E. Cavani (36, Valencia, La Liga 22-23)"
1952,"Rubén Mesa (31, Numancia, Primera División RFEF 22-23)"
1953,"G. Defrel (31, Sassuolo, Serie A 22-23)"
1954,"L. Di Stefano (20, Gubbio, Serie C 22-23)"
1955,"A. Smith (26, Annan Athletic, Scottish League Two 22-23)"
1956,"H. Wendel (19, Fremad Amager, Danish 1. Division 22-23)"
1957,"M. Amri (27, Club Africain, Tunisian Ligue 1 22-23)"
1958,"A. Cocco (37, AlbinoLeffe, Serie C 22-23)"
1959,"M. Kristensen (29, Lyngby, Superliga 22-23)"
1960,"S. Whalley (35, Accrington Stanley, League One 22-23)"
1961,"J. Allan (24, Falkirk, Scottish League One 22-23)"
1962,"K. N’Dri (22, Eupen, Belgian Pro League 22-23)"
1963,"G. Aguilar (23, Nacional Asunción, Paraguay Division Profesional 2023)"
1964,"A. Kakoullis (22, Omonia Nicosia, Cyprus 1. Division 22-23)"
1965,"C. Jennings (31, Hartlepool United, League Two 22-23)"
1966,"C. Rus (32, Unirea Slobozia, Romanian Liga II 22-23)"
1967,"Rivaldinho (28, Universitatea Craiova, SuperLiga României 22-23)"
1968,"S. Tovide (19, Colchester United, League Two 22-23)"
1969,"D. Balanyuk (26, Spartak Varna, Bulgarian First League 22-23)"
1970,"M. Barrow (24, Bologna, Serie A 22-23)"
1971,"B. Krasniqi (26, Mioveni, SuperLiga României 22-23)"
1972,"T. Priskin (36, Győri ETO, NB II 22-23)"
1973,"A. Ožbolt (26, Hapoel Tel Aviv, Ligat Ha'al 22-23)"
1974,"A. Fernández (30, Alianza Atlético, Peruvian Liga 1 2023)"
1975,"O. Nguette (28, Bani Yas, UAE Pro League 22-23)"
1976,"M. Berg (36, IFK Göteborg, Allsvenskan 2023)"
1977,"E. Huth (26, Erzgebirge Aue, 3. Liga 22-23)"
1978,"M. Sansores (32, Mazatlán, Liga MX 22-23)"
1979,"Y. Klymchuk (26, Rukh Lviv, Ukrainian Premier Liha 22-23)"
1980,"Y. Yamaya (22, Geylang International, Singapore Premier League 2023)"
1981,"S. Nagano (21, Fukushima United, J3 2023)"
1982,"C. Ninga (30, Anorthosis, Cyprus 1. Division 22-23)"
1983,"O. Omoijuanfo (29, Brøndby, Superliga 22-23)"
1984,"S. Magnússon (22, Lyngby, Superliga 22-23)"
1985,"Julio César (33, Ironi Tiberias, Liga Leumit 22-23)"
1986,"K. Bohm (27, Utsikten, Superettan 2023)"
1987,"M. Diouf (35, Konyaspor, Süper Lig 22-23)"
1988,"A. Knani (21, Kfar Kasem, Liga Leumit 22-23)"
1989,"A. Buzaglo (30, Sektzia Nes Tziona, Ligat Ha'al 22-23)"
1990,"M. Mirić (36, Mladost Lučani, Serbian SuperLiga 22-23)"
1991,"Q. Adebayo Adediran (22, České Budějovice, Czech Fortuna Liga 22-23)"
1992,"D. Weixelbraun (19, Amstetten, Austrian 2. Liga 22-23)"
1993,"F. Vecheta (20, Slovácko, Czech Fortuna Liga 22-23)"
1994,"I. Botella (23, RWD Molenbeek, Belgian First Division B 22-23)"
1995,"S. Cojocari (22, CSF Bălți, Moldovan Super Liga 22-23)"
1996,"A. Sima (21, Angers SCO, Ligue 1 22-23)"
1997,"B. House (23, Lincoln City, League One 22-23)"
1998,"N. Štulić (21, Radnički Niš, Serbian SuperLiga 22-23)"
1999,"Vinícius Tanque (28, UD Logroñés, Primera División RFEF 22-23)"
2000,"P. Dibba (35, Eyüpspor, Turkish 1. Lig 22-23)"
2001,"F. Dursun (18, Rapid Wien II, Austrian 2. Liga 22-23)"
2002,"D. Strelec (22, Reggina, Serie B 22-23)"
2003,"M. Antonsson (32, Al Adalah, Saudi Professional League 22-23)"
2004,"D. Talović (28, Rudar, Montenegro First League 22-23)"
2005,"V. Bayo (26, Charleroi, Belgian Pro League 22-23)"
2006,"E. Latte Lath (24, St. Gallen, Swiss Super League 22-23)"
2007,"M. Tchokounté (34, Nîmes, Ligue 2 22-23)"
2008,"E. Devine (22, Linfield, Northern Ireland Premiership 22-23)"
2009,"P. Onuachu (28, Genk, Belgian Pro League 22-23)"
2010,"M. Eppel (31, Diósgyőr, NB II 22-23)"
2011,"M. Silvera (25, Necaxa, Liga MX 22-23)"
2012,"Q. Safarov (18, Shamakhi FK, Premyer Liqa 22-23)"
2013,"E. Velikonja (34, Gorica, 1. SNL 22-23)"
2014,"D. Mujiri (24, Shukura, Erovnuli Liga 2023)"
2015,"Jardeu (24, Džiugas Telšiai, Lithuanian A Lyga 2023)"
2016,"J. Martínez (25, Municipal, Guatemala Liga Nacional 22-23)"
2017,"J. Stansfield (20, Exeter City, League One 22-23)"
2018,"F. Stokkers (27, Go Ahead Eagles, Eredivisie 22-23)"
2019,"M. Koszta (26, Maccabi Bnei Raina, Ligat Ha'al 22-23)"
2020,"J. Klíma (26, Baník Ostrava, Czech Fortuna Liga 22-23)"
2021,"O. Filip (25, Vorwärts Steyr, Austrian 2. Liga 22-23)"
2022,"G. Malcore (29, Audace Cerignola, Serie C 22-23)"
2023,"D. Karpov (23, Krasnodar II, Russian FNL 2 22-23)"
2024,"P. Beke (22, Budafoki MTE, NB II 22-23)"
2025,"J. Njinmah (22, Borussia Dortmund II, 3. Liga 22-23)"
2026,"J. Antiste (20, Amiens SC, Ligue 2 22-23)"
2027,"Bruno Duarte (27, Dhamk, Saudi Professional League 22-23)"
2028,"C. McKendry (24, Coleraine, Northern Ireland Premiership 22-23)"
2029,"M. Wright (31, Annan Athletic, Scottish League Two 22-23)"
2030,"I. Šaponjić (25, Bandırmaspor, Turkish 1. Lig 22-23)"
2031,"V. Krotov (30, Nizhny Novgorod, Russian Premier League 22-23)"
2032,"T. Shimada (26, Osaka, J3 2023)"
2033,"A. Gongapshev (23, SKA-Khabarovsk, Russian FNL 2 22-23)"
2034,"B. Afobe (30, Millwall, Championship 22-23)"
2035,"A. Sobolev (26, Spartak Moskva, Russian Premier League 22-23)"
2036,"Victor Mollejo (22, Real Zaragoza, La Liga 2 22-23)"
2037,"L. Jastremski (22, Grazer AK, Austrian 2. Liga 22-23)"
2038,"Vik. Granath (29, Halmstad, Allsvenskan 2023)"
2039,"A. Marchesano (32, Zürich, Swiss Super League 22-23)"
2040,"V. Erlien (25, Tromsø, Eliteserien 2023)"
2041,"Santi Mina (27, Al Shabab, Saudi Professional League 22-23)"
2042,"H. Chelli (0, EO Sidi Bouzid, Tunisian Ligue 1 22-23)"
2043,"Mario Barco (30, Numancia, Primera División RFEF 22-23)"
2044,"E. Shomurodov (27, Spezia, Serie A 22-23)"
2045,"N. Popović (29, Riteriai, Lithuanian A Lyga 2023)"
2046,"Welinton Júnior (29, Portimonense, Primeira Liga 22-23)"
2047,"T. Poznar (34, Nieciecza, Polish I Liga 22-23)"
2048,"E. Copetti (27, Charlotte FC, MLS 2023)"
2049,"P. Shalulile (29, Mamelodi Sundowns, South Africa PSL 22-23)"
2050,"A. Adorante (23, Triestina, Serie C 22-23)"
2051,"Y. Yamagishi (29, Avispa Fukuoka, J1 2023)"
2052,"M. Taylor (33, Port Vale, League One 22-23)"
2053,"D. Rumin (26, Tychy 71, Polish I Liga 22-23)"
2054,"L. Šipoš (23, Trento, Serie C 22-23)"
2055,"Cristian Herrera (29, Sabadell, Primera División RFEF 22-23)"
2056,"J. Daly (25, Guadalupe, Costa Rica Primera División 22-23)"
2057,"Borja Bastón (30, Real Oviedo, La Liga 2 22-23)"
2058,"Sergi Enrich (33, Real Oviedo, La Liga 2 22-23)"
2059,"K. Ibragimov (26, Dynamo Makhachkala, Russian FNL 2 22-23)"
2060,"Mario González (27, OH Leuven, Belgian Pro League 22-23)"
2061,"Jae-Yong Park (23, Anyang, K League 2 2023)"
2062,"K. Aribi (28, Al Qadisiyah, Saudi First Division 22-23)"
2063,"F. Heiselberg (20, Fredericia, Danish 1. Division 22-23)"
2064,"F. Margiotta (29, Novara, Serie C 22-23)"
2065,"K. Barbarouses (33, Wellington Phoenix, A-League Men 22-23)"
2066,"C. Patierno (32, Virtus Francavilla, Serie C 22-23)"
2067,"Hugo Díaz (35, Linares Deportivo, Primera División RFEF 22-23)"
2068,"B. Lyons (26, Montrose, Scottish League One 22-23)"
2069,"T. Maistrello (29, Renate, Serie C 22-23)"
2070,"M. Ducksch (29, Werder Bremen, Bundesliga 22-23)"
2071,"P. Ratkov (19, Bačka Topola, Serbian SuperLiga 22-23)"
2072,"Marc Fernández (33, Gimnàstic Tarragona, Primera División RFEF 22-23)"
2073,"B. Thomas-Asante (24, West Bromwich Albion, Championship 22-23)"
2074,"I. Dolček (23, Šibenik, 1. HNL 22-23)"
2075,"Lucão do Break (31, Ha Noi, V League 1 2023)"
2076,"B. Johnsen (31, Cambuur, Eredivisie 22-23)"
2077,"Casagrande (32, Negeri Sembilan, Malaysian Super League 2023)"
2078,"C. Wighton (25, Dunfermline Athletic, Scottish League One 22-23)"
2079,"M. Bakrar (22, Istra 1961, 1. HNL 22-23)"
2080,"M. Fuseini (21, Sturm Graz II, Austrian 2. Liga 22-23)"
2081,"B. Mbeumo (23, Brentford, Premier League 22-23)"
2082,"G. Sosa (34, Audax Italiano, Chilean Primera División 2023)"
2083,"Firas Al Buraikan (23, Al Fateh, Saudi Professional League 22-23)"
2084,"N. Khali (25, Tabor Sežana, 1. SNL 22-23)"
2085,"C. González (33, General Caballero JLM, Paraguay Division Profesional 2023)"
2086,"S. May (30, St. Johnstone, Scottish Premiership 22-23)"
2087,"O. Sow (33, Sukhothai, Thai League 1 22-23)"
2088,"A. Carroll (34, Reading, Championship 22-23)"
2089,"Y. Merdji (29, Niort, Ligue 2 22-23)"
2090,"N. Mileusnić (29, Brisbane Roar, A-League Men 22-23)"
2091,"B. Mizan (28, Hapoel Ramat Gan, Liga Leumit 22-23)"
2092,"D. Agyei (25, Crewe Alexandra, League Two 22-23)"
2093,"F. Petkovski (32, Vardar, North Macedonia First League 22-23)"
2094,"E. Nnamani (21, Nykøbing, Danish 1. Division 22-23)"
2095,"M. Kvasina (26, Göztepe, Turkish 1. Lig 22-23)"
2096,"K. Furuhashi (28, Celtic, Scottish Premiership 22-23)"
2097,"R. Zozulya (33, Rayo Majadahonda, Primera División RFEF 22-23)"
2098,"I. Baldé (34, Boluspor, Turkish 1. Lig 22-23)"
2099,"Fábio Silva (20, Anderlecht, Belgian Pro League 22-23)"
2100,"L. Edelhofer (22, First Vienna, Austrian 2. Liga 22-23)"
2101,"R. Akanbi (24, Sheriff, Moldovan Super Liga 22-23)"
2102,"D. Paraschiv (24, Hermannstadt, SuperLiga României 22-23)"
2103,"S. Kharpan (27, Rajasthan United, I-League 22-23)"
2104,"F. D'Andrea (24, Audace Cerignola, Serie C 22-23)"
2105,"M. Mata (22, Sligo Rovers, League of Ireland PL 2023)"
2106,"André Silva (25, Vitória Guimarães, Primeira Liga 22-23)"
2107,"B. Messaoudi (25, Kortrijk, Belgian Pro League 22-23)"
2108,"D. Diaw (31, Modena, Serie B 22-23)"
2109,"F. Abiuso (20, Pergolettese, Serie C 22-23)"
2110,"Y. Chermiti (19, Sporting CP, Primeira Liga 22-23)"
2111,"Sebastián Soria (39, Qatar SC, Qatari Stars League 22-23)"
2112,"P. Vegetti (34, Belgrano, Argentinian Primera División 2023)"
2113,"R. Cisneros (26, Guadalajara, Liga MX 22-23)"
2114,"F. Zampedri (35, Universidad Católica, Chilean Primera División 2023)"
2115,"J. Furch (33, Atlas, Liga MX 22-23)"
2116,"M. Beier (20, Hannover 96, 2. Bundesliga 22-23)"
2117,"P. Horváth (31, Siófok, NB II 22-23)"
2118,"R. Potočný (32, České Budějovice, Czech Fortuna Liga 22-23)"
2119,"Darío Poveda (26, Cartagena, La Liga 2 22-23)"
2120,"O. Cardozo (40, Libertad, Paraguay Division Profesional 2023)"
2121,"I. Tudorache (22, Progresul Spartac, Romanian Liga II 22-23)"
